id,codigo,nombre,telefono,correo,direccion
47,0047,Gabriela Ortiz,0917993139,gabriela.ortiz46@gmail.com,"Av. Simon Bolivar N24-27
48,0048,Domenica Vallejo 2,0928194364,domenica.vallejo.220@gmail.com,"Av. Interoceanica N71-76
49,0049,Mateo Herrera,0957272404,mateo.herrera78@gmail.com,"Av. Eloy Alfaro N37-17
50,0050,Diego Santillan 5,0919559205,diego.santillan.513@gmail.com,"Av. 10 de Agosto N65-75
51,0051,Nicolas Cevallos 3,0917430801,nicolas.cevallos.352@gmail.com,"Calle Bolivar N88-64
52,0052,Bryan Chicaiza 2,0939610710,bryan.chicaiza.238@gmail.com,"Av. Amazonas N29-60
53,0053,Andre Rosero 3,0933689252,andre.rosero.354@gmail.com,"Av. 10 de Agosto N16-91
54,0054,David Moreano 3,0932341513,david.moreano.339@gmail.com,"Calle Bolivar N23-86
55,0055,Sofia Villacis,0984389700,sofia.villacis40@gmail.com,"Calle Rocafuerte N90-63
56,0056,Daniela Cando,0965815945,daniela.cando58@gmail.com,"Av. Eloy Alfaro N34-94
57,0057,Jonathan Simbaña 2,0944677657,jonathan.simbana.227@gmail.com,"Calle Garcia Moreno N7-49
58,0058,Gabriela Ortiz 2,0910753998,gabriela.ortiz.238@gmail.com,"Av. Interoceanica N91-1
59,0059,Nicolas Cevallos 4,0975075990,nicolas.cevallos.486@gmail.com,"Av. Panamericana N99-83
60,0060,Nicolas Cevallos 5,0957842998,nicolas.cevallos.532@gmail.com,"Av. Panamericana N97-53
61,0061,Juan Carlos Lopez,0968299163,juan.carlos.lopez93@gmail.com,"Av. Amazonas N86-26
62,0062,Jonathan Simbaña 3,0980914738,jonathan.simbana.324@gmail.com,"Calle Garcia Moreno N44-2
63,0063,David Moreano 4,0977460303,david.moreano.478@gmail.com,"Calle Garcia Moreno N48-42
64,0064,Domenica Vallejo 3,0965514298,domenica.vallejo.395@gmail.com,"Av. Interoceanica N65-34
65,0065,Fernanda Narvaez 3,0962111583,fernanda.narvaez.396@gmail.com,"Av. Eloy Alfaro N88-39
66,0066,Esteban Mena,0975928950,esteban.mena41@gmail.com,"Av. Simon Bolivar N72-88
67,0067,Daniela Cando 2,0918047803,daniela.cando.26@gmail.com,"Av. Interoceanica N18-72
68,0068,Sofia Villacis 2,0989660484,sofia.villacis.216@gmail.com,"Av. Interoceanica N98-27
69,0069,Paula Benitez 2,0976870731,paula.benitez.216@gmail.com,"Calle Rocafuerte N77-29
70,0070,Cristian Vinueza 3,0980171947,cristian.vinueza.354@gmail.com,"Calle Rocafuerte N76-61
71,0071,Carolina Hidalgo 3,0958435401,carolina.hidalgo.389@gmail.com,"Calle Bolivar N98-81
72,0072,Alejandra Erazo 2,0942372150,alejandra.erazo.212@gmail.com,"Calle Bolivar N13-10
73,0073,Domenica Vallejo 4,0926450701,domenica.vallejo.452@gmail.com,"Av. 10 de Agosto N54-66
74,0074,Diego Santillan 6,0922184590,diego.santillan.694@gmail.com,"Calle Rocafuerte N73-29
75,0075,Ana Lucia Flores 3,0975923226,ana.lucia.flores.369@gmail.com,"Calle Garcia Moreno N79-50
76,0076,Domenica Vallejo 5,0998176300,domenica.vallejo.59@gmail.com,"Av. Amazonas N3-17
77,0077,Fernanda Narvaez 4,0950907231,fernanda.narvaez.46@gmail.com,"Av. Simon Bolivar N52-54
78,0078,Alejandra Erazo 3,0914188204,alejandra.erazo.325@gmail.com,"Calle Bolivar N33-1
79,0079,Camila Almeida 3,0989658521,camila.almeida.319@gmail.com,"Calle Garcia Moreno N73-7
80,0080,Sebastian Torres 2,0952825389,sebastian.torres.279@gmail.com,"Calle Rocafuerte N80-96
81,0081,Cristian Vinueza 4,0919745262,cristian.vinueza.432@gmail.com,"Av. 10 de Agosto N69-10
82,0082,Daniela Cando 3,0972411901,daniela.cando.328@gmail.com,"Av. Interoceanica N75-50
83,0083,Esteban Mena 2,0996394916,esteban.mena.275@gmail.com,"Av. Amazonas N48-64
84,0084,Isabel Cabrera 2,0984774511,isabel.cabrera.219@gmail.com,"Calle Bolivar N15-40
85,0085,Diego Santillan 7,0957830589,diego.santillan.741@gmail.com,"Av. Simon Bolivar N28-91
86,0086,Domenica Vallejo 6,0934536317,domenica.vallejo.652@gmail.com,"Av. Eloy Alfaro N76-52
87,0087,Jonathan Simbaña 4,0972357620,jonathan.simbana.470@gmail.com,"Calle Garcia Moreno N47-59
88,0088,Carolina Hidalgo 4,0959431946,carolina.hidalgo.436@gmail.com,"Av. Amazonas N96-50
89,0089,Juan Carlos Lopez 2,0943918006,juan.carlos.lopez.289@gmail.com,"Av. Panamericana N6-74
90,0090,Carolina Hidalgo 5,0978559721,carolina.hidalgo.563@gmail.com,"Av. Panamericana N98-75
91,0091,Camila Almeida 4,0973317180,camila.almeida.44@gmail.com,"Av. Simon Bolivar N70-56
92,0092,Michelle Acosta 2,0942922602,michelle.acosta.286@gmail.com,"Calle Garcia Moreno N1-49
93,0093,Sofia Villacis 3,0983154804,sofia.villacis.347@gmail.com,"Calle Bolivar N48-17
94,0094,Juan Carlos Lopez 3,0967973916,juan.carlos.lopez.377@gmail.com,"Av. Simon Bolivar N45-69
95,0095,Fernanda Narvaez 5,0966586659,fernanda.narvaez.52@gmail.com,"Av. Amazonas N47-84
96,0096,Kevin Zambrano 4,0943246111,kevin.zambrano.486@gmail.com,"Calle Rocafuerte N74-88
97,0097,Kevin Zambrano 5,0937398729,kevin.zambrano.584@gmail.com,"Calle Rocafuerte N76-55
98,0098,Andre Rosero 4,0921264682,andre.rosero.417@gmail.com,"Av. 10 de Agosto N75-33
99,0099,Jorge Guaman 3,0917912119,jorge.guaman.346@gmail.com,"Calle Bolivar N79-96
100,0100,Mateo Herrera 2,0930059751,mateo.herrera.289@gmail.com,"Av. Amazonas N59-69
101,0101,Carolina Hidalgo 6,0996299129,carolina.hidalgo.627@gmail.com,"Av. Panamericana N84-30
102,0102,Cristian Vinueza 5,0952539461,cristian.vinueza.575@gmail.com,"Av. Eloy Alfaro N56-25
103,0103,Alejandra Erazo 4,0918153640,alejandra.erazo.494@gmail.com,"Av. Interoceanica N18-41
104,0104,Andre Rosero 5,0959483286,andre.rosero.564@gmail.com,"Av. Eloy Alfaro N52-51
105,0105,Mateo Herrera 3,0996996447,mateo.herrera.359@gmail.com,"Av. 10 de Agosto N10-42
106,0106,David Moreano 5,0930559215,david.moreano.540@gmail.com,"Av. Simon Bolivar N17-21
107,0107,Nicolas Cevallos 6,0937329936,nicolas.cevallos.629@gmail.com,"Av. Panamericana N81-40
108,0108,Esteban Mena 3,0996937569,esteban.mena.340@gmail.com,"Av. Eloy Alfaro N88-6
109,0109,Isabel Cabrera 3,0964669834,isabel.cabrera.391@gmail.com,"Av. Simon Bolivar N9-40
110,0110,Fernanda Narvaez 6,0986933791,fernanda.narvaez.644@gmail.com,"Calle Bolivar N80-79
111,0111,Alejandra Erazo 5,0936137883,alejandra.erazo.575@gmail.com,"Av. Eloy Alfaro N64-25
112,0112,Daniela Cando 4,0953066024,daniela.cando.484@gmail.com,"Calle Garcia Moreno N98-12
113,0113,Mateo Herrera 4,0953100015,mateo.herrera.497@gmail.com,"Calle Rocafuerte N31-46
114,0114,Sofia Villacis 4,0959749200,sofia.villacis.412@gmail.com,"Calle Garcia Moreno N64-62
115,0115,Fernanda Narvaez 7,0988833267,fernanda.narvaez.798@gmail.com,"Av. Simon Bolivar N91-42
116,0116,Valentina Paredes 3,0914472354,valentina.paredes.310@gmail.com,"Av. 10 de Agosto N36-28
117,0117,Maria Fernanda Ruiz 5,0956543294,maria.fernanda.ruiz.590@gmail.com,"Av. Simon Bolivar N57-42
118,0118,Cristian Vinueza 6,0918862765,cristian.vinueza.692@gmail.com,"Av. Panamericana N84-66
119,0119,Sofia Villacis 5,0943915266,sofia.villacis.543@gmail.com,"Av. Simon Bolivar N14-76
120,0120,Nicolas Cevallos 7,0990659180,nicolas.cevallos.720@gmail.com,"Av. Amazonas N94-13
121,0121,Carolina Hidalgo 7,0929163913,carolina.hidalgo.710@gmail.com,"Av. Simon Bolivar N25-45
122,0122,Fernanda Narvaez 8,0995880771,fernanda.narvaez.866@gmail.com,"Calle Sucre N42-88
123,0123,Diego Santillan 8,0942115236,diego.santillan.85@gmail.com,"Av. Panamericana N55-94
124,0124,Diego Santillan 9,0961440700,diego.santillan.922@gmail.com,"Av. Eloy Alfaro N24-24
125,0125,Isabel Cabrera 4,0982863689,isabel.cabrera.474@gmail.com,"Calle Garcia Moreno N83-60
126,0126,Sebastian Torres 3,0962745991,sebastian.torres.343@gmail.com,"Av. Eloy Alfaro N47-13
127,0127,Isabel Cabrera 5,0979103206,isabel.cabrera.571@gmail.com,"Av. Interoceanica N9-41
128,0128,Camila Almeida 5,0991306520,camila.almeida.542@gmail.com,"Calle Garcia Moreno N28-67
129,0129,Kevin Zambrano 6,0974660039,kevin.zambrano.622@gmail.com,"Calle Sucre N73-13
130,0130,Ana Lucia Flores 4,0964903455,ana.lucia.flores.47@gmail.com,"Av. Interoceanica N38-6
131,0131,Gabriela Ortiz 3,0919911938,gabriela.ortiz.337@gmail.com,"Av. Panamericana N69-8
132,0132,Carolina Hidalgo 8,0929893492,carolina.hidalgo.882@gmail.com,"Av. Eloy Alfaro N84-25
133,0133,David Moreano 6,0916021714,david.moreano.676@gmail.com,"Calle Sucre N87-78
134,0134,Carolina Hidalgo 9,0919084255,carolina.hidalgo.946@gmail.com,"Calle Garcia Moreno N76-62
135,0135,Fernanda Narvaez 9,0977459654,fernanda.narvaez.91@gmail.com,"Av. Panamericana N19-65
136,0136,Esteban Mena 4,0983915920,esteban.mena.417@gmail.com,"Calle Garcia Moreno N77-71
137,0137,Isabel Cabrera 6,0957182797,isabel.cabrera.638@gmail.com,"Calle Rocafuerte N93-36
138,0138,Fernanda Narvaez 10,0938392709,fernanda.narvaez.1014@gmail.com,"Calle Sucre N92-66
139,0139,Gabriela Ortiz 4,0983070392,gabriela.ortiz.480@gmail.com,"Calle Garcia Moreno N76-65
140,0140,Nicole Salazar 4,0970902579,nicole.salazar.481@gmail.com,"Av. Eloy Alfaro N1-8
141,0141,Jorge Guaman 4,0977185361,jorge.guaman.413@gmail.com,"Calle Sucre N53-90
142,0142,Valentina Paredes 4,0913975703,valentina.paredes.493@gmail.com,"Av. Amazonas N55-6
143,0143,Carolina Hidalgo 10,0913896804,carolina.hidalgo.1096@gmail.com,"Av. Amazonas N68-16
144,0144,Ana Lucia Flores 5,0998664162,ana.lucia.flores.511@gmail.com,"Calle Sucre N42-64
145,0145,Cristian Vinueza 7,0965731112,cristian.vinueza.768@gmail.com,"Av. Eloy Alfaro N15-77
146,0146,Paula Benitez 3,0978674008,paula.benitez.321@gmail.com,"Av. 10 de Agosto N25-72
147,0147,Cristian Vinueza 8,0954722594,cristian.vinueza.879@gmail.com,"Av. Simon Bolivar N72-5
148,0148,Jorge Guaman 5,0930494969,jorge.guaman.523@gmail.com,"Calle Bolivar N8-58
149,0149,Carolina Hidalgo 11,0983588587,carolina.hidalgo.1183@gmail.com,"Calle Sucre N21-46
150,0150,Pablo Andrade 3,0927668986,pablo.andrade.379@gmail.com,"Calle Rocafuerte N72-3
151,0151,Carolina Hidalgo 12,0955504654,carolina.hidalgo.1298@gmail.com,"Av. Interoceanica N44-29
152,0152,Juan Carlos Lopez 4,0999434823,juan.carlos.lopez.424@gmail.com,"Av. Amazonas N34-9
153,0153,Sebastian Torres 4,0976155280,sebastian.torres.460@gmail.com,"Calle Rocafuerte N20-28
154,0154,Jorge Guaman 6,0962359575,jorge.guaman.62@gmail.com,"Calle Rocafuerte N77-9
155,0155,Maria Fernanda Ruiz 6,0980095697,maria.fernanda.ruiz.678@gmail.com,"Calle Garcia Moreno N10-35
156,0156,Esteban Mena 5,0975664768,esteban.mena.546@gmail.com,"Av. Simon Bolivar N70-58
157,0157,Cristian Vinueza 9,0998310691,cristian.vinueza.935@gmail.com,"Av. 10 de Agosto N39-58
158,0158,Ana Lucia Flores 6,0924950229,ana.lucia.flores.615@gmail.com,"Av. Interoceanica N84-69
159,0159,Domenica Vallejo 7,0952153251,domenica.vallejo.761@gmail.com,"Av. Simon Bolivar N63-85
160,0160,Jorge Guaman 7,0938763173,jorge.guaman.778@gmail.com,"Calle Bolivar N1-91
161,0161,Gabriela Ortiz 5,0985017107,gabriela.ortiz.523@gmail.com,"Calle Rocafuerte N46-89
162,0162,David Moreano 7,0926671167,david.moreano.761@gmail.com,"Av. Amazonas N91-42
163,0163,Luis Fernando Mejia 3,0924641364,luis.fernando.mejia.339@gmail.com,"Calle Sucre N72-35
164,0164,Paula Benitez 4,0942541529,paula.benitez.466@gmail.com,"Calle Sucre N24-20
165,0165,Domenica Vallejo 8,0972180565,domenica.vallejo.818@gmail.com,"Av. Panamericana N51-20
166,0166,Camila Almeida 6,0963677687,camila.almeida.653@gmail.com,"Av. Simon Bolivar N3-1
167,0167,Diego Santillan 10,0991871350,diego.santillan.1089@gmail.com,"Calle Garcia Moreno N25-42
168,0168,Jonathan Simbaña 5,0919879860,jonathan.simbana.58@gmail.com,"Calle Bolivar N8-35
169,0169,Isabel Cabrera 7,0958563797,isabel.cabrera.739@gmail.com,"Av. Amazonas N13-77
170,0170,Juan Carlos Lopez 5,0968237510,juan.carlos.lopez.589@gmail.com,"Av. 10 de Agosto N62-30
171,0171,Andre Rosero 6,0947560787,andre.rosero.648@gmail.com,"Av. Interoceanica N42-5
172,0172,Daniela Cando 5,0977241692,daniela.cando.520@gmail.com,"Calle Garcia Moreno N4-18
173,0173,Andre Rosero 7,0923017188,andre.rosero.766@gmail.com,"Av. Eloy Alfaro N18-44
174,0174,Andre Rosero 8,0981888046,andre.rosero.851@gmail.com,"Av. Panamericana N77-11
175,0175,Bryan Chicaiza 3,0983036475,bryan.chicaiza.376@gmail.com,"Calle Rocafuerte N69-18
176,0176,David Moreano 8,0994404441,david.moreano.891@gmail.com,"Av. Simon Bolivar N65-13
177,0177,Camila Almeida 7,0986074284,camila.almeida.764@gmail.com,"Calle Garcia Moreno N97-61
178,0178,Michelle Acosta 3,0931861161,michelle.acosta.390@gmail.com,"Av. Panamericana N21-1
179,0179,Mateo Herrera 5,0977589604,mateo.herrera.568@gmail.com,"Av. Amazonas N87-24
180,0180,Esteban Mena 6,0976068819,esteban.mena.674@gmail.com,"Calle Garcia Moreno N74-26
181,0181,Jorge Guaman 8,0921302214,jorge.guaman.81@gmail.com,"Av. 10 de Agosto N84-16
182,0182,Fernanda Narvaez 11,0977853905,fernanda.narvaez.1190@gmail.com,"Av. Amazonas N75-61
183,0183,Maria Fernanda Ruiz 7,0970880838,maria.fernanda.ruiz.770@gmail.com,"Calle Garcia Moreno N20-67
184,0184,Luis Fernando Mejia 4,0963673683,luis.fernando.mejia.450@gmail.com,"Av. Panamericana N41-96
185,0185,Mateo Herrera 6,0957770889,mateo.herrera.696@gmail.com,"Av. Simon Bolivar N33-2
186,0186,Jorge Guaman 9,0947114720,jorge.guaman.999@gmail.com,"Av. 10 de Agosto N24-64
187,0187,Maria Fernanda Ruiz 8,0938448523,maria.fernanda.ruiz.879@gmail.com,"Calle Sucre N18-20
188,0188,Fernanda Narvaez 12,0957229009,fernanda.narvaez.1277@gmail.com,"Av. Simon Bolivar N67-35
189,0189,Paula Benitez 5,0921609217,paula.benitez.593@gmail.com,"Av. Amazonas N28-50
190,0190,Jonathan Simbaña 6,0965501381,jonathan.simbana.630@gmail.com,"Calle Rocafuerte N13-46
191,0191,Maria Fernanda Ruiz 9,0917577885,maria.fernanda.ruiz.948@gmail.com,"Calle Sucre N75-76
192,0192,David Moreano 9,0918329824,david.moreano.964@gmail.com,"Av. Simon Bolivar N93-3
193,0193,Juan Carlos Lopez 6,0914712339,juan.carlos.lopez.647@gmail.com,"Calle Rocafuerte N7-99
194,0194,Diego Santillan 11,0967299362,diego.santillan.1112@gmail.com,"Av. Simon Bolivar N26-33
195,0195,Ana Lucia Flores 7,0951211237,ana.lucia.flores.729@gmail.com,"Av. 10 de Agosto N59-85
196,0196,Bryan Chicaiza 4,0990515402,bryan.chicaiza.45@gmail.com,"Av. Amazonas N76-38
197,0197,Diego Santillan 12,0954812835,diego.santillan.1229@gmail.com,"Calle Bolivar N34-35
198,0198,Fernanda Narvaez 13,0982628992,fernanda.narvaez.1334@gmail.com,"Calle Sucre N3-9
199,0199,Camila Almeida 8,0970776879,camila.almeida.867@gmail.com,"Calle Bolivar N87-41
200,0200,Sebastian Torres 5,0913627196,sebastian.torres.583@gmail.com,"Calle Sucre N72-71
201,a41,Andrew Rosero,0999865297,andre@gmail.com,quito
